page,chart,masked_text,bbox
22,Chamaeleon,VOLANS,"(413.05035400390625, 349.12884521484375, 460.15032958984375, 362.100830078125)"
23,Circinus,CIRCINUS,"(273.1200866699219, 459.853515625, 329.10009765625, 472.82550048828125)"
23,Circinus,CRUX,"(427.77606201171875, 429.1094970703125, 458.7000732421875, 442.0815124511719)"
23,Circinus,MUSCA,"(392.4600524902344, 478.34552001953125, 434.1360778808594, 491.3175048828125)"
23,Circinus,TRIANGULUM,"(147.9720458984375, 466.03350830078125, 226.54806518554688, 479.0054931640625)"
23,Circinus,AUSTRALE,"(157.56004333496094, 483.5054931640625, 216.96005249023438, 496.47747802734375)"
23,Circinus,CENTAURUS,"(407.03271484375, 336.95709228515625, 476.5367126464844, 349.9291076660156)"
23,Circinus,APUS,"(127.30072021484375, 570.537109375, 157.56471252441406, 583.5090942382812)"
23,Circinus,LUPUS,"(253.084716796875, 278.73309326171875, 290.14068603515625, 291.705078125)"
23,Circinus,NORMA,"(120.30471801757812, 331.1370849609375, 164.11671447753906, 344.10906982421875)"
24,Columba,CAELUM,"(435.93359375, 482.71783447265625, 483.8135986328125, 495.6898193359375)"
24,Columba,CANIS,"(156.40557861328125, 252.4738006591797, 191.6495819091797, 265.44580078125)"
24,Columba,MAJOR,"(153.72958374023438, 269.95782470703125, 194.32557678222656, 282.9298095703125)"
24,Columba,COLUMBA,"(352.089599609375, 323.60980224609375, 409.62957763671875, 336.5818176269531)"
24,Columba,LEPUS,"(310.3388977050781, 244.2065887451172, 346.1708679199219, 257.1785888671875)"
24,Columba,PICTOR,"(315.40289306640625, 525.4866333007812, 357.93084716796875, 538.4586181640625)"
24,Columba,PUPPIS,"(107.88690185546875, 511.24261474609375, 149.20289611816406, 524.214599609375)"
25,Coma Berenices,BOOTES,"(106.0625, 466.3409423828125, 152.07049560546875, 479.31292724609375)"
25,Coma Berenices,COMA BERENICES,"(235.11050415039062, 387.7529296875, 338.5864562988281, 400.72491455078125)"
25,Coma Berenices,CANES,"(330.7384948730469, 268.86895751953125, 368.8265075683594, 281.8409423828125)"
25,Coma Berenices,VENATICI,"(322.9864807128906, 281.97296142578125, 376.5904235839844, 294.9449462890625)"
25,Coma Berenices,VIRGO,"(328.7763977050781, 558.4326171875, 365.65240478515625, 571.4046020507812)"
25,Coma Berenices,LEO,"(452.77239990234375, 379.33258056640625, 474.61236572265625, 392.3045959472656)"
25,Coma Berenices,URSA,"(421.5244140625, 255.5646209716797, 451.9804382324219, 268.53662109375)"
25,Coma Berenices,MAJOR,"(416.44842529296875, 268.66864013671875, 457.04443359375, 281.640625)"
26,Corona Australis,ARA,"(379.845703125, 507.84967041015625, 402.7057189941406, 520.8216552734375)"
26,Corona Australis,CORONA,"(310.16168212890625, 399.90960693359375, 360.5016784667969, 412.8816223144531)"
26,Corona Australis,AUSTRALIS,"(303.5376892089844, 414.03363037109375, 367.1257019042969, 427.005615234375)"
26,Corona Australis,SAGIT TARIUS,"(111.08169555664062, 276.46563720703125, 187.9416961669922, 289.4376220703125)"
26,Corona Australis,TELESCOPIUM,"(115.91769409179688, 520.1976318359375, 198.2496795654297, 533.1696166992188)"
26,Corona Australis,SCORPIUS,"(422.2060852050781, 357.2451171875, 480.4540710449219, 370.21710205078125)"
27,Corona Borealis,CORONA,"(268.7734069824219, 376.63531494140625, 319.1134033203125, 389.6072998046875)"
27,Corona Borealis,BOREALIS,"(265.5814208984375, 394.1072998046875, 322.3174133300781, 407.07928466796875)"
27,Corona Borealis,HERCULES,"(115.10142517089844, 468.75927734375, 175.3534393310547, 481.7312927246094)"
27,Corona Borealis,BOOTES,"(358.5674133300781, 256.46441650390625, 404.5754089355469, 269.4364013671875)"
